job_id,job_name,model,experiment,partition,gpu_type,gpu_count,start,end,wall_time,est_gpu_hours,state
40604433_3,pf-midillm,midi_llm,midi_llm full NSHARDS=5 gpu-l40,gpu-l40,l40,1,2026-09-25T11:48:27,2026-09-25T15:03:32,03:15:05,3.251,COMPLETED
40604433_4,pf-midillm,midi_llm,midi_llm full NSHARDS=5 gpu-l40,gpu-l40,l40,1,2026-09-25T12:02:13,2026-09-25T15:03:20,03:01:07,3.019,COMPLETED
40604442_0,pf-e3b-int,,--job-name=pf-e3b-int --array=0-5 scripts/paper_final/gen.sbatch,gpu-l40s,l40s,1,2026-09-25T11:33:24,2026-09-25T14:36:43,03:03:19,3.055,COMPLETED
40604442_1,pf-e3b-int,,--job-name=pf-e3b-int --array=0-5 scripts/paper_final/gen.sbatch,gpu-l40s,l40s,1,2026-09-25T11:53:08,2026-09-25T13:44:21,01:51:13,1.854,COMPLETED
40604442_2,pf-e3b-int,,--job-name=pf-e3b-int --array=0-5 scripts/paper_final/gen.sbatch,gpu-l40s,l40s,1,2026-09-25T12:52:03,2026-09-25T14:44:39,01:52:36,1.877,COMPLETED
40604442_3,pf-e3b-int,,--job-name=pf-e3b-int --array=0-5 scripts/paper_final/gen.sbatch,gpu-l40s,l40s,1,2026-09-25T12:52:34,2026-09-25T14:36:04,01:43:30,1.725,COMPLETED
40604442_4,pf-e3b-int,,--job-name=pf-e3b-int --array=0-5 scripts/paper_final/gen.sbatch,gpu-l40s,l40s,1,2026-09-25T12:55:12,2026-09-25T14:37:38,01:42:26,1.707,COMPLETED
40604442_5,pf-e3b-int,,--job-name=pf-e3b-int --array=0-5 scripts/paper_final/gen.sbatch,gpu-l40s,l40s,1,2026-09-25T12:59:03,2026-09-25T14:46:11,01:47:08,1.786,COMPLETED
40604443_0,pf-e0-ood,,--job-name=pf-e0-ood --array=0 scripts/paper_final/gen.sbatch,gpu-l40s,l40s,1,2026-09-25T13:04:24,2026-09-25T15:04:49,02:00:25,2.007,CANCELLED by 1316827
40604444_0,pf-e1-ood,,--job-name=pf-e1-ood --array=0 scripts/paper_final/gen.sbatch,gpu-l40s,l40s,1,2026-09-25T13:13:29,2026-09-25T15:04:49,01:51:20,1.856,CANCELLED by 1316827
